JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,SAMPLE_SIZE
STORESPERSON,DAY,NEPTUNE,,7.5,1.5,42
STORESPERSON,DAY,VANTERM,,9.0,0.0,3
STORESPERSON,NIGHT,NEPTUNE,,7.5,1.5,11
TRACTOR TRAILER,DAY,CENTENNIAL,,9.0,0.0,8
TRACTOR TRAILER,DAY,CENTENNIAL,RAIL (HC),9.0,0.0,175
TRACTOR TRAILER,DAY,CENTENNIAL,RAIL (TT),9.0,0.0,1909
TRACTOR TRAILER,DAY,CENTENNIAL,SHIP (TT),9.0,0.0,1556
TRACTOR TRAILER,DAY,CENTENNIAL,YARD (TT),9.0,0.0,19
TRACTOR TRAILER,DAY,DELTAPORT,SHIP (TT),8.0,1.0,13
TRACTOR TRAILER,DAY,VANTERM,RAIL (TT),4.0,0.0,24
TRACTOR TRAILER,DAY,VANTERM,SHIP (TT),4.0,1.0,51
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,BARGE (TT),6.5,1.0,3
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.5,0.0,181
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (TT),7.5,0.0,1740
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,SHIP (TT),7.5,0.0,2389
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,YARD (TT),7.5,0.0,13
TRACTOR TRAILER,GRAVEYARD,DELTAPORT,RAIL (TT),6.5,1.0,12
TRACTOR TRAILER,GRAVEYARD,DELTAPORT,SHIP (TT),7.5,0.0,21
TRACTOR TRAILER,GRAVEYARD,VANTERM,RAIL (TT),7.5,0.0,6
TRACTOR TRAILER,NIGHT,CENTENNIAL,,9.0,0.0,3
TRACTOR TRAILER,NIGHT,CENTENNIAL,RAIL (HC),9.0,0.0,36
TRACTOR TRAILER,NIGHT,CENTENNIAL,RAIL (TT),9.0,0.0,989
TRACTOR TRAILER,NIGHT,CENTENNIAL,SHIP (TT),9.0,0.0,1354
TRACTOR TRAILER,NIGHT,CENTENNIAL,YARD (TT),9.0,0.0,6
TRACTOR TRAILER,NIGHT,DELTAPORT,RAIL (TT),8.0,1.0,32
TRACTOR TRAILER,NIGHT,DELTAPORT,SHIP (TT),8.0,1.0,38
TRACTOR TRAILER,NIGHT,VANTERM,RAIL (TT),8.0,1.0,18
TRACTOR TRAILER,NIGHT,VANTERM,SHIP (TT),8.0,1.0,39
TRAINER,DAY,CENTENNIAL,SENIOR (TRNR),9.0,1.0,5
TRAINER,NIGHT,NEPTUNE,BLANK (TRNR),8.0,1.0,6
